Algorithm,NumShards,CV%,StdDev,Mean,MinPercent,MaxPercent,Delta,DeltaPercent,TotalKeys
MURMUR3,40,6.1816,1545.39,25000.00,2.2329,2.9281,6952,0.6952,1000000
MURMUR3,41,6.2331,1520.26,24390.24,2.1791,2.8311,6520,0.6520,1000000
MURMUR3,42,6.2376,1485.15,23809.52,2.1336,2.7433,6097,0.6097,1000000
MURMUR3,43,6.3277,1471.55,23255.81,2.0713,2.6678,5965,0.5965,1000000
MURMUR3,44,6.2808,1427.46,22727.27,2.0338,2.6620,6282,0.6282,1000000
MURMUR3,45,6.2961,1399.12,22222.22,1.9283,2.5721,6438,0.6438,1000000
MURMUR3,46,6.2133,1350.73,21739.13,1.8872,2.5128,6256,0.6256,1000000
MURMUR3,47,6.3612,1353.45,21276.60,1.8549,2.4887,6338,0.6338,1000000
MURMUR3,48,6.3282,1318.37,20833.33,1.8283,2.4496,6213,0.6213,1000000
MURMUR3,49,6.2338,1272.20,20408.16,1.8086,2.4087,6001,0.6001,1000000
MURMUR3,50,6.3234,1264.67,20000.00,1.7949,2.3935,5986,0.5986,1000000
MURMUR3,51,6.4652,1267.69,19607.84,1.7640,2.3204,5564,0.5564,1000000
MURMUR3,52,6.3319,1217.67,19230.77,1.7297,2.2459,5162,0.5162,1000000
MURMUR3,53,6.0528,1142.03,18867.92,1.6839,2.1677,4838,0.4838,1000000
MURMUR3,54,6.0953,1128.76,18518.52,1.6673,2.1616,4943,0.4943,1000000
MURMUR3,55,6.3793,1159.87,18181.82,1.5815,2.1241,5426,0.5426,1000000
MURMUR3,56,6.5618,1171.75,17857.14,1.5713,2.1227,5514,0.5514,1000000
MURMUR3,57,6.4978,1139.97,17543.86,1.5358,2.0540,5182,0.5182,1000000
MURMUR3,58,6.2735,1081.64,17241.38,1.5358,2.0097,4739,0.4739,1000000
MURMUR3,59,6.3542,1076.98,16949.15,1.5054,1.9809,4755,0.4755,1000000
MURMUR3,60,6.2560,1042.67,16666.67,1.4883,1.9514,4631,0.4631,1000000
MURMUR3,61,6.3708,1044.39,16393.44,1.4514,1.9466,4952,0.4952,1000000
MURMUR3,62,6.2592,1009.55,16129.03,1.4222,1.9248,5026,0.5026,1000000
MURMUR3,63,6.3093,1001.47,15873.02,1.4139,1.8808,4669,0.4669,1000000
MURMUR3,64,6.3641,994.39,15625.00,1.3707,1.8483,4776,0.4776,1000000
MURMUR3,65,6.2054,954.68,15384.62,1.3653,1.7870,4217,0.4217,1000000
MURMUR3,66,5.9962,908.52,15151.52,1.3534,1.7088,3554,0.3554,1000000
MURMUR3,67,5.9363,886.01,14925.37,1.3304,1.6691,3387,0.3387,1000000
MURMUR3,68,6.0133,884.30,14705.88,1.3157,1.6569,3412,0.3412,1000000
MURMUR3,69,6.5216,945.16,14492.75,1.2205,1.6492,4287,0.4287,1000000
MURMUR3,70,6.6285,946.93,14285.71,1.2205,1.6369,4164,0.4164,1000000
MURMUR3,71,6.8804,969.07,14084.51,1.1962,1.6180,4218,0.4218,1000000
MURMUR3,72,6.6691,926.26,13888.89,1.1858,1.5885,4027,0.4027,1000000
MURMUR3,73,6.5254,893.89,13698.63,1.1765,1.5509,3744,0.3744,1000000
MURMUR3,74,6.3463,857.61,13513.51,1.1356,1.5227,3871,0.3871,1000000
MURMUR3,75,6.3690,849.20,13333.33,1.1280,1.5209,3929,0.3929,1000000
MURMUR3,76,6.1936,814.95,13157.89,1.1226,1.5195,3969,0.3969,1000000
MURMUR3,77,6.1805,802.66,12987.01,1.0950,1.4932,3982,0.3982,1000000
MURMUR3,78,6.2425,800.32,12820.51,1.0858,1.4833,3975,0.3975,1000000
MURMUR3,79,6.2649,793.03,12658.23,1.0699,1.4765,4066,0.4066,1000000
MURMUR3,80,6.2368,779.61,12500.00,1.0512,1.4506,3994,0.3994,1000000
MURMUR3,81,6.4073,791.02,12345.68,1.0395,1.4360,3965,0.3965,1000000
MURMUR3,82,6.3572,775.27,12195.12,1.0282,1.3960,3678,0.3678,1000000
MURMUR3,83,6.4166,773.08,12048.19,1.0054,1.3855,3801,0.3801,1000000
MURMUR3,84,6.3164,751.95,11904.76,1.0051,1.3680,3629,0.3629,1000000
MURMUR3,85,6.5938,775.74,11764.71,1.0017,1.3580,3563,0.3563,1000000
MURMUR3,86,6.7013,779.22,11627.91,0.9989,1.3468,3479,0.3479,1000000
MURMUR3,87,6.6965,769.71,11494.25,0.9824,1.3192,3368,0.3368,1000000
MURMUR3,88,6.9273,787.20,11363.64,0.9011,1.3048,4037,0.4037,1000000
MURMUR3,89,6.8165,765.90,11235.96,0.8997,1.2962,3965,0.3965,1000000
MURMUR3,90,6.8087,756.52,11111.11,0.8949,1.2652,3703,0.3703,1000000
MURMUR3,91,6.9134,759.72,10989.01,0.8871,1.2472,3601,0.3601,1000000
MURMUR3,92,6.8264,742.00,10869.57,0.8856,1.2257,3401,0.3401,1000000
MURMUR3,93,6.9085,742.85,10752.69,0.8776,1.2235,3459,0.3459,1000000
MURMUR3,94,6.8711,730.97,10638.30,0.8736,1.2187,3451,0.3451,1000000
MURMUR3,95,7.0685,744.05,10526.32,0.8554,1.2122,3568,0.3568,1000000
MURMUR3,96,7.2942,759.81,10416.67,0.8317,1.2122,3805,0.3805,1000000
MURMUR3,97,7.2289,745.24,10309.28,0.8290,1.1978,3688,0.3688,1000000
MURMUR3,98,7.1314,727.69,10204.08,0.8267,1.1886,3619,0.3619,1000000
MURMUR3,99,7.1513,722.36,10101.01,0.8219,1.1713,3494,0.3494,1000000
MURMUR3,100,7.3086,730.86,10000.00,0.8159,1.1637,3478,0.3478,1000000
MURMUR3,101,7.1341,706.34,9900.99,0.8159,1.1616,3457,0.3457,1000000
MURMUR3,102,7.2189,707.74,9803.92,0.8145,1.1430,3285,0.3285,1000000
MURMUR3,103,7.1134,690.62,9708.74,0.8084,1.1151,3067,0.3067,1000000
MURMUR3,104,7.0799,680.76,9615.38,0.7904,1.1066,3162,0.3162,1000000
MURMUR3,105,7.0483,671.26,9523.81,0.7809,1.0986,3177,0.3177,1000000
MURMUR3,106,6.8833,649.37,9433.96,0.7736,1.0932,3196,0.3196,1000000
